match_id,player,row,deuce_wide,deuce_middle,deuce_t,ad_wide,ad_middle,ad_t,err_net,err_wide,err_deep,err_wide_deep,err_foot,err_unknown
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,Total,29,16,15,18,17,18,33,5,10,3,0,0
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,1,19,8,5,8,9,15,0,0,0,0,0,0
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,2,10,8,10,10,8,3,33,5,10,3,0,0
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Tommy Paul,Total,15,30,24,29,31,7,31,9,14,2,0,0
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Tommy Paul,1,14,10,16,18,18,6,0,0,0,0,0,0
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Tommy Paul,2,1,20,8,11,13,1,31,9,14,2,0,0
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Carlos Alcaraz,Total,34,12,15,22,22,14,31,6,9,2,0,0
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Carlos Alcaraz,1,23,4,13,9,10,14,0,0,0,0,0,0
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Carlos Alcaraz,2,11,8,2,13,12,0,31,6,9,2,0,0
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Carlos Alcaraz,Total,12,16,19,15,16,11,20,2,11,3,0,1
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Carlos Alcaraz,1,9,7,14,11,6,9,0,0,0,0,0,0
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Carlos Alcaraz,2,3,9,5,4,10,2,20,2,11,3,0,1
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Mark Lajal,Total,23,13,15,12,10,29,17,7,8,3,0,0
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Mark Lajal,1,16,4,12,11,4,22,0,0,0,0,0,0
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Mark Lajal,2,7,9,3,1,6,7,17,7,8,3,0,0
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Alexander Zverev,Total,36,2,30,33,3,29,13,8,20,0,0,0
