match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,wide,body,t
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,2,49,30,1,0,2,13,20,16,13
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Tommy Paul,Total,136,74,2,0,15,28,44,61,31
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Tommy Paul,1,82,47,2,0,14,16,32,28,22
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Tommy Paul,2,54,27,0,0,1,12,12,33,9
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Carlos Alcaraz,Total,119,77,7,0,19,36,56,34,29
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Carlos Alcaraz,1,73,48,7,0,18,28,32,14,27
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Carlos Alcaraz,2,46,29,0,0,1,8,24,20,2
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Carlos Alcaraz,Total,89,65,4,1,17,39,27,32,30
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Carlos Alcaraz,1,56,47,4,1,16,30,20,13,23
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Carlos Alcaraz,2,33,18,0,0,1,9,7,19,7
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Mark Lajal,Total,102,59,7,2,16,37,35,23,44
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Mark Lajal,1,69,40,7,2,15,27,27,8,34
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Mark Lajal,2,33,19,0,0,1,10,8,15,10
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Alexander Zverev,Total,133,73,8,18,0,35,69,5,59
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Alexander Zverev,1,98,62,8,16,0,31,56,1,41
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Alexander Zverev,2,35,11,0,2,0,4,13,4,18
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Carlos Alcaraz,Total,159,93,3,20,0,40,107,14,38
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Carlos Alcaraz,1,96,62,3,19,0,37,74,6,16
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Carlos Alcaraz,2,63,31,0,1,0,3,33,8,22
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,Total,157,93,8,0,16,45,76,55,26
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,1,103,68,8,0,16,36,59,30,14
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,2,54,25,0,0,0,9,17,25,12
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,Total,135,83,7,1,20,41,57,44,34
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,1,76,56,7,1,18,30,37,14,25
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,2,59,27,0,0,2,11,20,30,9
20240602-M-Roland_Garros-R16-Carlos_Alcaraz-Felix_Auger_Aliassime,Carlos Alcaraz,Total,79,54,1,10,0,24,43,4,32
20240602-M-Roland_Garros-R16-Carlos_Alcaraz-Felix_Auger_Aliassime,Carlos Alcaraz,1,53,40,1,10,0,20,32,1,20
20240602-M-Roland_Garros-R16-Carlos_Alcaraz-Felix_Auger_Aliassime,Carlos Alcaraz,2,26,14,0,0,0,4,11,3,12
20240602-M-Roland_Garros-R16-Carlos_Alcaraz-Felix_Auger_Aliassime,Felix Auger Aliassime,Total,84,43,0,14,0,21,41,10,32
20240602-M-Roland_Garros-R16-Carlos_Alcaraz-Felix_Auger_Aliassime,Felix Auger Aliassime,1,48,29,0,12,0,15,27,1,19
20240602-M-Roland_Garros-R16-Carlos_Alcaraz-Felix_Auger_Aliassime,Felix Auger Aliassime,2,36,14,0,2,0,6,14,9,13
20240531-M-Roland_Garros-R32-Sebastian_Korda-Carlos_Alcaraz,Sebastian Korda,Total,124,69,1,0,18,26,60,14,50
20240531-M-Roland_Garros-R32-Sebastian_Korda-Carlos_Alcaraz,Sebastian Korda,1,72,44,0,0,17,23,38,4,30
20240531-M-Roland_Garros-R32-Sebastian_Korda-Carlos_Alcaraz,Sebastian Korda,2,52,25,1,0,1,3,22,10,20
20240531-M-Roland_Garros-R32-Sebastian_Korda-Carlos_Alcaraz,Carlos Alcaraz,Total,90,64,3,0,16,33,43,25,22
20240531-M-Roland_Garros-R32-Sebastian_Korda-Carlos_Alcaraz,Carlos Alcaraz,1,70,51,3,0,16,27,33,20,17
20240531-M-Roland_Garros-R32-Sebastian_Korda-Carlos_Alcaraz,Carlos Alcaraz,2,20,13,0,0,0,6,10,5,5
20240529-M-Roland_Garros-R64-Jesper_De_Jong-Carlos_Alcaraz,Jesper De Jong,Total,124,63,2,0,12,26,47,32,45
20240529-M-Roland_Garros-R64-Jesper_De_Jong-Carlos_Alcaraz,Jesper De Jong,1,72,40,2,0,11,16,34,12,26
20240529-M-Roland_Garros-R64-Jesper_De_Jong-Carlos_Alcaraz,Jesper De Jong,2,52,23,0,0,1,10,13,20,19
20240529-M-Roland_Garros-R64-Jesper_De_Jong-Carlos_Alcaraz,Carlos Alcaraz,Total,112,67,2,1,15,24,48,35,29
20240529-M-Roland_Garros-R64-Jesper_De_Jong-Carlos_Alcaraz,Carlos Alcaraz,1,78,50,2,1,15,20,37,21,20
20240529-M-Roland_Garros-R64-Jesper_De_Jong-Carlos_Alcaraz,Carlos Alcaraz,2,34,17,0,0,0,4,11,14,9
20240526-M-Roland_Garros-R128-Carlos_Alcaraz-J_J_Wolf,Carlos Alcaraz,Total,66,45,5,1,9,24,33,10,23
20240526-M-Roland_Garros-R128-Carlos_Alcaraz-J_J_Wolf,Carlos Alcaraz,1,47,33,5,1,9,21,25,6,16
20240526-M-Roland_Garros-R128-Carlos_Alcaraz-J_J_Wolf,Carlos Alcaraz,2,19,12,0,0,0,3,8,4,7
20240526-M-Roland_Garros-R128-Carlos_Alcaraz-J_J_Wolf,J J Wolf,Total,64,24,0,3,2,6,36,5,23
20240526-M-Roland_Garros-R128-Carlos_Alcaraz-J_J_Wolf,J J Wolf,1,35,16,0,3,2,5,21,1,13
20240526-M-Roland_Garros-R128-Carlos_Alcaraz-J_J_Wolf,J J Wolf,2,29,8,0,0,0,1,15,4,10
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Andrey Rublev,Total,86,61,5,16,0,35,47,4,35
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Andrey Rublev,1,64,51,5,16,0,29,36,0,28
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Andrey Rublev,2,22,10,0,0,0,6,11,4,7
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Carlos Alcaraz,Total,81,51,1,17,0,27,47,4,30
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Carlos Alcaraz,1,57,34,1,13,0,20,35,3,19
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Carlos Alcaraz,2,24,17,0,4,0,7,12,1,11
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Alexander Shevchenko,Total,55,20,0,7,0,9,26,9,20
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Alexander Shevchenko,1,33,15,0,7,0,7,18,2,13
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Alexander Shevchenko,2,22,5,0,0,0,2,8,7,7
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Carlos Alcaraz,Total,38,24,1,9,0,14,21,3,14
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Carlos Alcaraz,1,27,18,1,9,0,13,15,2,10
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Carlos Alcaraz,2,11,6,0,0,0,1,6,1,4
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Grigor Dimitrov,Total,56,37,4,1,7,20,22,18,16
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Grigor Dimitrov,1,35,27,4,1,7,16,17,5,13
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Grigor Dimitrov,2,21,10,0,0,0,4,5,13,3
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Carlos Alcaraz,Total,59,32,3,0,5,16,15,24,20
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Carlos Alcaraz,1,34,19,3,0,5,9,9,14,11
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Carlos Alcaraz,2,25,13,0,0,0,7,6,10,9
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,Total,47,23,2,4,0,9,28,2,17
