match_id,player,row,pts,won_1+,won_2+,won_3+,won_4+,won_5+,won_6+,won_7+,won_8+,won_9+,won_10+
20240326-M-Miami_Masters-R16-Lorenzo_Musetti-Carlos_Alcaraz,Carlos Alcaraz,2,19,57.9%,52.9%,60.0%,40.0%,57.1%,50.0%,60.0%,33.3%,50.0%,0.0%
20240323-M-Miami_Masters-R64-Roberto_Carballes_Baena-Carlos_Alcaraz,Roberto Carballes Baena,1,33,57.6%,46.2%,48.0%,43.5%,50.0%,28.6%,44.4%,37.5%,50.0%,25.0%
20240323-M-Miami_Masters-R64-Roberto_Carballes_Baena-Carlos_Alcaraz,Roberto Carballes Baena,2,17,35.3%,26.7%,33.3%,33.3%,33.3%,27.3%,33.3%,33.3%,50.0%,40.0%
20240323-M-Miami_Masters-R64-Roberto_Carballes_Baena-Carlos_Alcaraz,Carlos Alcaraz,1,34,79.4%,70.8%,81.0%,75.0%,92.3%,90.0%,90.0%,83.3%,83.3%,66.7%
20240323-M-Miami_Masters-R64-Roberto_Carballes_Baena-Carlos_Alcaraz,Carlos Alcaraz,2,13,38.5%,27.3%,30.0%,30.0%,37.5%,37.5%,50.0%,0.0%,0.0%,0.0%
20240317-M-Indian_Wells_Masters-F-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,1,48,62.5%,51.4%,59.4%,53.6%,60.0%,47.4%,60.0%,40.0%,57.1%,25.0%
20240317-M-Indian_Wells_Masters-F-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,2,28,50.0%,30.0%,46.2%,36.4%,57.1%,50.0%,60.0%,50.0%,50.0%,50.0%
20240317-M-Indian_Wells_Masters-F-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,1,40,75.0%,52.4%,73.3%,60.0%,66.7%,57.1%,66.7%,0.0%,0.0%,0.0%
20240317-M-Indian_Wells_Masters-F-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,2,21,71.4%,62.5%,76.9%,70.0%,70.0%,62.5%,71.4%,50.0%,66.7%,66.7%
20240316-M-Indian_Wells_Masters-SF-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,1,46,65.2%,56.8%,65.6%,47.6%,55.6%,42.9%,60.0%,42.9%,50.0%,50.0%
